bp,beatmap_id,beatmapset_id,artist,title,version,mods,pp,accuracy,star_rating_api,od,ar,cs,hp,bpm,length_s,objects,osu_file,osu_md5,file_has_beatmapid_header,official_star_rating,official_aim_difficulty,official_speed_difficulty,official_slider_factor,official_speed_note_count,official_max_combo,official_aim_slider_count,official_aim_strain_count,official_speed_strain_count
40,2861267,1385020,Saint Snow,DROPOUT!?,GO TO THE WORLD!?,HD,450.715,0.9892156862745098,6.92222,9.5,9.6,4.5,6.5,182,228,1360,osu/2861267.osu,163eadc795223751bd9d6f0f031b0635,true,7.270430088043213,3.6219699382781982,3.1181800365448,0.98853600025177,804.1400146484375,1733,101.6969985961914,162.30299377441406,466.4020080566406
41,4892236,2262416,ke-ji feat. Nanahira,Ange du Blanc Pur,BMD's Absolution,HD,449.675,0.9837725719863348,7.00917,9.6,9.6,4,6,182,236,1366,osu/4892236.osu,afe05baaf96b41630039560f6dc4593f,true,7.372550010681152,3.6645100116729736,3.1798698902130127,0.9953579902648926,809.0089721679688,1778,39.21080017089844,162.05099487304688,517.8489990234375
42,667021,297110,M.Iz,Kakenukeru Anime Song Medley IV,TWO DIMENSIONS,HDHR,448.93,0.9825352112676057,6.33926,8,9,4,4,192,808,3550,osu/667021.osu,de04901ea6b69571c6e196176d7f051a,true,6.944049835205078,3.369070053100586,3.0761799812316895,0.9863970279693604,816.8889770507812,5086,537.301025390625,393.09600830078125,393.1730041503906
43,4137259,1991315,Feint,Tower Of Heaven (You Are Slaves) (Cut Ver.),Acme,HDHR,445.542,0.9899749373433584,6.47073,9.3,9.4,3.9,3,175,98,532,osu/4137259.osu,21144eb2b08839522d22beb9ea357ba1,true,7.314859867095947,3.931570053100586,2.8235599994659424,0.9976599812507629,328.25299072265625,739,28.840099334716797,84.80390167236328,175.85699462890625
44,2423981,1151004,UNDEAD CORPORATION,Embraced by the Flame,Extra,HD,445.394,0.9937674618525683,6.83342,9,9.4,3.8,5,215,242,1551,osu/2423981.osu,de80c90aefa4dda6b04ee45c439c87c8,true,7.208340167999268,3.180180072784424,3.5134599208831787,0.9972050189971924,931.947998046875,2500,160.197998046875,157.0330047607422,430.89300537109375
45,5284284,2427256,AISHA,Radiant Dawn,Golden Embers,HD,443.647,0.9922691182615964,6.91989,8.8,9.6,4.2,6,184,317,2393,osu/5284284.osu,50b7ba227d5ccf0d1a140f7fcb13a5fa,true,7.345900058746338,3.3017001152038574,3.4913699626922607,0.9975240230560303,1388.9200439453125,3092,380.2340087890625,486.3869934082031,636.1160278320312
46,693195,185250,ALiCE'S EMOTiON,Dark Flight Dreamer,CRN's Extra,HDHR,443.617,0.9876923076923076,6.2152,8.5,9.5,4,7.5,189,189,975,osu/693195.osu,93075d2451623b69859fb20ce6010efd,true,6.8633198738098145,3.606679916381836,2.76023006439209,0.984063982963562,316.33599853515625,1264,211.16200256347656,231.76400756835938,149.71499633789062
47,1754777,838182,VINXIS,Sidetracked Day,Infinity Inside,HD,442.638,0.9871946414499606,6.6708,9.6,9.5,4.4,5.5,188,337,1692,osu/1754777.osu,c48478f7a85e2b2368f1d383156319a0,true,7.081160068511963,3.2500500679016113,3.3010599613189697,0.999413013458252,878.927001953125,2261,262.53399658203125,259.4590148925781,538.073974609375
48,4865935,2282117,Sawawa,Cosmic Drive,Desire,HD,442.269,0.9765851091817943,7.03413,9.4,9.6,4,5,191,225,1267,osu/4865935.osu,faa456fa4a7307a632fbca9352f7477d,true,7.38631010055542,3.6610701084136963,3.180530071258545,0.9995239973068237,402.70098876953125,1548,74.10389709472656,275.85101318359375,262.77301025390625
49,1170505,552726,Imperial Circus Dead Decadence,Uta,Redemption,HD,441.101,0.9862841323769976,7.05815,9,9.4,4.3,5,205,528,2649,osu/1170505.osu,bd6aea9634c95136ddfe7c91cf03f32d,true,7.474339962005615,3.5099000930786133,3.3741400241851807,0.9875379800796509,912.1599731445312,3683,398.98199462890625,360.27801513671875,421.74798583984375
