bp,beatmap_id,beatmapset_id,artist,title,version,mods,pp,accuracy,star_rating_api,od,ar,cs,hp,bpm,length_s,objects,osu_file,osu_md5,file_has_beatmapid_header,official_star_rating,official_aim_difficulty,official_speed_difficulty,official_slider_factor,official_speed_note_count,official_max_combo,official_aim_slider_count,official_aim_strain_count,official_speed_strain_count
88,3355394,1643829,Fred V,Already Disappeared,Irreplaceable,HDHR,395.502,0.9878618113912232,6.03867,10,9.2,3.9,5,174,249,1071,osu/3355394.osu,24ddf8b85af3bfc5a9d986c12eb760f3,true,6.731880187988281,3.3186399936676025,2.9750099182128906,0.9959149956703186,633.4810180664062,1558,35.28739929199219,94.125,373.5199890136719
89,4381212,2086612,Shota Kageyama,Sentou de Pinch!,-Tynamo's Extra,HDHR,394.875,0.9797979797979798,6.12513,9.3,9.3,4.1,7.5,177.98,33,297,osu/4381212.osu,721136edbd791610c37a4d010217a823,true,6.946269989013672,3.6663899421691895,2.834160089492798,0.9968209862709045,268.6619873046875,362,15.093199729919434,115.41699981689453,177.08099365234375
90,4570744,2166472,KOTOKO,Koi Kou Enishi,Insane,HDDT,394.505,0.9955609362389023,4.65955,7.5,8.5,4,5,144,227,826,osu/4570744.osu,040c69d75091dc3e9398c8a0b1f2c4a0,true,6.855690002441406,3.5262300968170166,2.8184099197387695,0.9990450143814087,177.99600219726562,1104,156.01300048828125,163.13800048828125,78.04789733886719
91,4165290,2002962,ShadowStrike,Fly With Me,Reaching Destiny,HD,394.296,0.9869248593181066,7.02663,9.4,9.6,4.2,5,180,286,2014,osu/4165290.osu,71c094bd6660119e66b3a1020b15c903,true,7.3624701499938965,3.666300058364868,3.201620101928711,0.9999499917030334,1214.4100341796875,2661,303.6419982910156,183.43499755859375,572.6500244140625
92,5109853,2364885,Manticora,Humiliation Supreme,Extra,HDHR,391.759,0.9812041116005874,5.9837,9,9.3,3.8,5,189.99,152,1135,osu/5109853.osu,97362716c14dfd7900cb082365f0fcab,true,6.585639953613281,2.9184699058532715,3.2447800636291504,0.9961410164833069,847.9840087890625,1670,89.6332015991211,271.135986328125,473.0570068359375
93,1957638,862297,K A Z M A S A,Bon Appetit S (Oldskool HappyHardcore Remix),Blend S,HD,391.631,0.985075493612079,6.47831,9.5,9.5,4,5,170,367,2870,osu/1957638.osu,3497511639e6dacbc5bbace7f00ddc16,true,6.921510219573975,3.2388100624084473,3.127340078353882,0.9942860007286072,2301.449951171875,3905,554.1950073242188,464.6180114746094,1139.5400390625
94,4571942,2156281,Porter Robinson,Get Your Wish (Sewerslvt Remix),evth's extra,HDHR,389.789,0.977056585829767,6.10787,8.8,9.3,3.8,4.5,190,232,1402,osu/4571942.osu,2181475a1c2d5c7bd33bbc44b1d9014f,true,6.675909996032715,2.9471399784088135,3.2619400024414062,0.9804059863090515,914.7659912109375,1935,224.9010009765625,220.86700439453125,485.0419921875
95,3570727,1736814,Mitsuki,Eeliaas,EXPERT,HD,389.031,0.9953703703703703,6.40919,9.2,9.7,4,5.3,180,119,576,osu/3570727.osu,753a3ef92e7d0d9700ffed4475cb7b1b,true,6.677330017089844,3.390500068664551,2.8552300930023193,0.994720995426178,283.10400390625,764,44.489601135253906,99.59750366210938,154.9530029296875
96,1635388,778657,DECO*27,First Storm -Japanese Version-,Arigatou,HD,389.02,0.9857350800582242,7.04479,9.4,9.6,4.3,5.5,190,228,1145,osu/1635388.osu,c76bfd03a1614a66f751e106c64b1a89,true,7.3577399253845215,3.7776401042938232,3.027129888534546,0.9979900121688843,239.697998046875,1463,107.70500183105469,159.19000244140625,128.47799682617188
97,2077120,993306,ryu5150,Louder than steel,Onlybiscuit's Extra,HDHR,388.047,0.9803408870811544,6.37551,9,9.4,3.8,5.2,190,276,1721,osu/2077120.osu,2070d7a0d1d878f3f46625daeef7a086,true,7.019020080566406,3.498379945755005,3.0639400482177734,0.9880369901657104,889.2230224609375,2724,436.55499267578125,297.5480041503906,391.95599365234375
98,2766688,1335452,Halozy,Genryuu Kaiko,Nostalgia,HD,386.443,0.9906984610180957,6.87477,9,9.3,4,6,173,302,1971,osu/2766688.osu,a66845535c7c197e5af35d5d8f29c313,true,7.351789951324463,3.6013600826263428,3.083430051803589,0.8780990242958069,1254.18994140625,2684,273.78399658203125,135.79299926757812,689.9840087890625
99,1868547,890270,bibuko,Reizouko Mitara Pudding ga Nai,Alphabet's Extra,HDHR,386.202,0.975925925925926,6.37044,8.7,9.2,3.8,5.3,190,118,630,osu/1868547.osu,67f9cc851be2f8509628a8fd32bf12bf,true,6.879049777984619,3.6093900203704834,2.834709882736206,0.9887970089912415,215.61199951171875,796,86.50550079345703,93.20210266113281,121.94599914550781
100,4859466,2279760,Fellowship,Hold Up Your Hearts (Again),Memorial Heartache,HD,385.414,0.9785889454819845,6.85119,9.6,9.7,4.3,5,174,259,1767,osu/4859466.osu,8c2d3482be820ce116aede064839c3a0,true,7.204780101776123,3.6149001121520996,3.064160108566284,0.9948769807815552,1163.6700439453125,2334,131.83900451660156,251.64599609375,667.9669799804688
